0.11D+08                                              +-  H  He C  O  S  G    
 JSPACE =            1
 125 C2H4        0  4  0  2  0  0  0  0  0  0  0  0  0  0  0.73604280D-10
 126 NC4N        0  0  0  4  2  0  0  0  0  0  0  0  0  0  0.15589729D-11
 127 H2CSiCH     0  3  0  2  0  0  1  0  0  0  0  0  0  0  0.37982806D-11
 128 SiC4H       0  1  0  4  0  0  1  0  0  0  0  0  0  0  0.15347310D-11
 129 HC4N        0  1  0  4  1  0  0  0  0  0  0  0  0  0  0.29177261D-14
 130 C4H2        0  2  0  4  0  0  0  0  0  0  0  0  0  0  0.19231323D-10
 131 C5H         0  1  0  5  0  0  0  0  0  0  0  0  0  0  0.54095838D-14
 132 C5N         0  0  0  5  1  0  0  0  0  0  0  0  0  0  0.32888335D-15
 133 CH3OH       0  4  0  1  0  1  0  0  0  0  0  0  0  0  0.78786724D-15
 134 NH2CHO      0  3  0  1  1  1  0  0  0  0  0  0  0  0  0.10187905D-12
 135 C5O         0  0  0  5  0  1  0  0  0  0  0  0  0  0  0.35920921D-13
 136 C7          0  0  0  7  0  0  0  0  0  0  0  0  0  0  0.13408369D-18
 137 HC5N        0  1  0  5  1  0  0  0  0  0  0  0  0  0  0.18785761D-14
 138 SiC2CH3     0  3  0  3  0  0  1  0  0  0  0  0  0  0  0.17051318D-13
 139 CH3CHO      0  4  0  2  0  1  0  0  0  0  0  0  0  0  0.15639754D-12
 140 C2H5        0  5  0  2  0  0  0  0  0  0  0  0  0  0  0.26476942D-16
 141 CH2CHCN     0  3  0  3  1  0  0  0  0  0  0  0  0  0  0.41382730D-14
 142 CH3CCH      0  4  0  3  0  0  0  0  0  0  0  0  0  0  0.29948188D-12
 143 C5H2        0  2  0  5  0  0  0  0  0  0  0  0  0  0  0.31564400D-14
 144 C6H         0  1  0  6  0  0  0  0  0  0  0  0  0  0  0.69587471D-16
 145 CH3NH2      0  5  0  1  1  0  0  0  0  0  0  0  0  0  0.43376109D-10
 146 C4H3        0  3  0  4  0  0  0  0  0  0  0  0  0  0  0.43593379D-16
